fBUS,tBUS,R,X,B
1,2,0.0026,0.0139,0.4611
1,3,0.0546,0.2112,0.0572
1,5,0.0218,0.0845,0.0229
2,4,0.0328,0.1267,0.0343
2,6,0.0497,0.192,0.052
3,9,0.0308,0.119,0.0322
3,24,0.0023,0.0839,0
4,9,0.0268,0.1037,0.0281
5,10,0.0228,0.0883,0.0239
6,10,0.0139,0.0605,2.459
7,8,0.0159,0.0614,0.0166
8,9,0.0427,0.1651,0.0447
8,10,0.0427,0.1651,0.0447
9,11,0.0023,0.0839,0
9,12,0.0023,0.0839,0
10,11,0.0023,0.0839,0
10,12,0.0023,0.0839,0
11,13,0.0061,0.0476,0.0999
11,14,0.0054,0.0418,0.0879
12,13,0.0061,0.0476,0.0999
12,23,0.0124,0.0966,0.203
13,23,0.0111,0.0865,0.1818
14,16,0.005,0.0389,0.0818
15,16,0.0022,0.0173,0.0364
15,21,0.0063,0.049,0.103
15,21,0.0063,0.049,0.103
15,24,0.0067,0.0519,0.1091
16,17,0.0033,0.0259,0.0545
16,19,0.003,0.0231,0.0485
17,18,0.0018,0.0144,0.0303
17,22,0.0135,0.1053,0.2212
18,21,0.0033,0.0259,0.0545
18,21,0.0033,0.0259,0.0545
19,20,0.0051,0.0396,0.0833
19,20,0.0051,0.0396,0.0833
20,23,0.0028,0.0216,0.0455
20,23,0.0028,0.0216,0.0455
21,22,0.0087,0.0678,0.1424
